main_category,sub_category,url
청소년,청소년 과학,https://book.naver.com/category/index.naver?cate_code=300080&tab=top100&list_type=list&sort_type=salecount
청소년,청소년 문학,https://book.naver.com/category/index.naver?cate_code=300050&tab=top100&list_type=list&sort_type=salecount
청소년,청소년 예술,https://book.naver.com/category/index.naver?cate_code=300070&tab=top100&list_type=list&sort_type=salecount
청소년,청소년 인문/사회,https://book.naver.com/category/index.naver?cate_code=300060&tab=top100&list_type=list&sort_type=salecount
학습/참고서,고등학교,https://book.naver.com/category/index.naver?cate_code=220010&tab=top100&list_type=list&sort_type=salecount
학습/참고서,중학교,https://book.naver.com/category/index.naver?cate_code=220020&tab=top100&list_type=list&sort_type=salecount
학습/참고서,초등학교,https://book.naver.com/category/index.naver?cate_code=220030&tab=top100&list_type=list&sort_type=salecount
학습/참고서,논술/면접대비,https://book.naver.com/category/index.naver?cate_code=220040&tab=top100&list_type=list&sort_type=salecount
학습/참고서,공부방법/진학,https://book.naver.com/category/index.naver?cate_code=220050&tab=top100&list_type=list&sort_type=salecount
취업/수험서,취업/상식/적성검사,https://book.naver.com/category/index.naver?cate_code=260010&tab=top100&list_type=list&sort_type=salecount
취업/수험서,공무원,https://book.naver.com/category/index.naver?cate_code=260020&tab=top100&list_type=list&sort_type=salecount
취업/수험서,고시,https://book.naver.com/category/index.naver?cate_code=260030&tab=top100&list_type=list&sort_type=salecount
취업/수험서,전문직,https://book.naver.com/category/index.naver?cate_code=260040&tab=top100&list_type=list&sort_type=salecount
취업/수험서,편입/검정고시,https://book.naver.com/category/index.naver?cate_code=260050&tab=top100&list_type=list&sort_type=salecount
만화,공포/추리,https://book.naver.com/category/index.naver?cate_code=330090&tab=top100&list_type=list&sort_type=salecount
만화,교양만화,https://book.naver.com/category/index.naver?cate_code=330010&tab=top100&list_type=list&sort_type=salecount
만화,드라마,https://book.naver.com/category/index.naver?cate_code=330020&tab=top100&list_type=list&sort_type=salecount
만화,명랑/코믹만화,https://book.naver.com/category/index.naver?cate_code=330080&tab=top100&list_type=list&sort_type=salecount
만화,성인만화,https://book.naver.com/category/index.naver?cate_code=330030&tab=top100&list_type=list&sort_type=salecount
만화,순정만화,https://book.naver.com/category/index.naver?cate_code=330040&tab=top100&list_type=list&sort_type=salecount
만화,스포츠만화,https://book.naver.com/category/index.naver?cate_code=330050&tab=top100&list_type=list&sort_type=salecount
만화,액션/무협만화,https://book.naver.com/category/index.naver?cate_code=330070&tab=top100&list_type=list&sort_type=salecount
만화,웹툰/카툰에세이,https://book.naver.com/category/index.naver?cate_code=330110&tab=top100&list_type=list&sort_type=salecount
만화,학원만화,https://book.naver.com/category/index.naver?cate_code=330100&tab=top100&list_type=list&sort_type=salecount
만화,일본어판 만화,https://book.naver.com/category/index.naver?cate_code=330130&tab=top100&list_type=list&sort_type=salecount
만화,영문판 만화,https://book.naver.com/category/index.naver?cate_code=330140&tab=top100&list_type=list&sort_type=salecount
만화,SF/판타지,https://book.naver.com/category/index.naver?cate_code=330060&tab=top100&list_type=list&sort_type=salecount
만화,기타만화,https://book.naver.com/category/index.naver?cate_code=330120&tab=top100&list_type=list&sort_type=salecount
잡지,여성/패션/리빙,https://book.naver.com/category/index.naver?cate_code=290010&tab=top100&list_type=list&sort_type=salecount
잡지,인문/사회/종교,https://book.naver.com/category/index.naver?cate_code=290020&tab=top100&list_type=list&sort_type=salecount
잡지,문예/교양지,https://book.naver.com/category/index.naver?cate_code=290030&tab=top100&list_type=list&sort_type=salecount
잡지,자연/공학,https://book.naver.com/category/index.naver?cate_code=290040&tab=top100&list_type=list&sort_type=salecount
잡지,컴퓨터/게임/그래픽,https://book.naver.com/category/index.naver?cate_code=290050&tab=top100&list_type=list&sort_type=salecount
잡지,어학/교육,https://book.naver.com/category/index.naver?cate_code=290060&tab=top100&list_type=list&sort_type=salecount
잡지,예술/대중문화,https://book.naver.com/category/index.naver?cate_code=290070&tab=top100&list_type=list&sort_type=salecount
잡지,취미/여행,https://book.naver.com/category/index.naver?cate_code=290080&tab=top100&list_type=list&sort_type=salecount
잡지,외국잡지,https://book.naver.com/category/index.naver?cate_code=290090&tab=top100&list_type=list&sort_type=salecount
해외도서,가족/생활,https://book.naver.com/category/index.naver?cate_code=340080&tab=top100&list_type=list&sort_type=salecount
해외도서,건축/예술,https://book.naver.com/category/index.naver?cate_code=340040&tab=top100&list_type=list&sort_type=salecount
해외도서,경영경제,https://book.naver.com/category/index.naver?cate_code=340030&tab=top100&list_type=list&sort_type=salecount
해외도서,과학/공학/수학,https://book.naver.com/category/index.naver?cate_code=340120&tab=top100&list_type=list&sort_type=salecount
해외도서,문학/소설,https://book.naver.com/category/index.naver?cate_code=340010&tab=top100&list_type=list&sort_type=salecount
해외도서,사회/정치/법,https://book.naver.com/category/index.naver?cate_code=340130&tab=top100&list_type=list&sort_type=salecount
해외도서,언어/외국어/사전,https://book.naver.com/category/index.naver?cate_code=340090&tab=top100&list_type=list&sort_type=salecount
해외도서,요리,https://book.naver.com/category/index.naver?cate_code=340060&tab=top100&list_type=list&sort_type=salecount
해외도서,유아청소년/교육,https://book.naver.com/category/index.naver?cate_code=340020&tab=top100&list_type=list&sort_type=salecount
해외도서,종교/명상,https://book.naver.com/category/index.naver?cate_code=340110&tab=top100&list_type=list&sort_type=salecount
해외도서,철학/심리/역사,https://book.naver.com/category/index.naver?cate_code=340100&tab=top100&list_type=list&sort_type=salecount
해외도서,취미/여행,https://book.naver.com/category/index.naver?cate_code=340070&tab=top100&list_type=list&sort_type=salecount
해외도서,컴퓨터,https://book.naver.com/category/index.naver?cate_code=340050&tab=top100&list_type=list&sort_type=salecount
해외도서,독일,https://book.naver.com/category/index.naver?cate_code=340140&tab=top100&list_type=list&sort_type=salecount
해외도서,스페인,https://book.naver.com/category/index.naver?cate_code=340160&tab=top100&list_type=list&sort_type=salecount
해외도서,일본도서,https://book.naver.com/category/index.naver?cate_code=340170&tab=top100&list_type=list&sort_type=salecount
해외도서,프랑스,https://book.naver.com/category/index.naver?cate_code=340150&tab=top100&list_type=list&sort_type=salecount
